tipo_crime,bairro,descricao_modus_operandi,arma_utilizada,quantidade_vitimas,quantidade_suspeitos,idade_suspeito,cluster,status_binario,status_investigacao
Tráfico de Drogas,Torre,Estelionato Bancário,Nenhum,1,0,62,4,0,Arquivado
Violência Doméstica,Santo Amaro,Arrombamento,Explosivos,3,2,58,2,0,Arquivado
Roubo,Torre,Estelionato Bancário,Objeto Contundente,0,1,42,4,1,Concluído
Homicídio,Torre,Uso de Arma de Fogo,Nenhum,4,4,29,4,0,Arquivado
Ameaça,Casa Forte,Fraude Online,Objeto Contundente,4,4,49,2,1,Concluído
Estelionato,Espinheiro,Fraude Online,Arma de Fogo,4,4,20,3,0,Arquivado
Latrocínio,Casa Forte,Golpe Telefônico,Arma de Fogo,3,0,25,2,1,Concluído
Ameaça,Boa Viagem,Assalto a Mão Armada,Explosivos,3,1,49,8,1,Concluído
Roubo,Afogados,Crime Cibernético,Arma de Fogo,1,1,26,5,1,Concluído
Estupro,Graças,Golpe Telefônico,Nenhum,2,3,42,1,0,Arquivado
Estelionato,Graças,Crime Cibernético,Arma de Fogo,2,0,27,1,1,Concluído
Latrocínio,Graças,Arrombamento,Faca,3,4,56,1,1,Concluído
Homicídio,Torre,Emboscada,Objeto Contundente,1,0,22,4,0,Arquivado
Estupro,Imbiribeira,Arrombamento,Explosivos,2,3,19,6,1,Concluído
Furto,Boa Viagem,Emboscada,Objeto Contundente,3,0,38,8,0,Arquivado
Furto,Pina,Arrombamento,Nenhum,0,0,65,0,0,Arquivado
Sequestro,Santo Amaro,Estupro Coletivo,Explosivos,4,3,43,2,0,Arquivado
Estupro,Torre,Uso de Arma de Fogo,Explosivos,1,0,55,4,1,Concluído
Violência Doméstica,Afogados,Assalto a Mão Armada,Nenhum,3,4,20,5,1,Concluído
Furto,Pina,Estelionato Bancário,Nenhum,4,3,24,0,1,Concluído
Roubo,Tamarineira,Estupro Coletivo,Explosivos,0,1,20,7,1,Concluído
Sequestro,Espinheiro,Invasão Residencial,Faca,3,2,32,3,1,Concluído
Furto,Espinheiro,Uso de Arma de Fogo,Arma de Fogo,0,3,27,3,0,Arquivado
Tráfico de Drogas,Afogados,Crime Cibernético,Explosivos,0,3,68,5,0,Arquivado
Latrocínio,Santo Amaro,Crime Cibernético,Arma de Fogo,2,4,16,2,1,Concluído
Ameaça,Tamarineira,Estupro Coletivo,Arma de Fogo,1,1,54,7,1,Concluído
Estupro,Afogados,Fraude Online,Faca,2,0,56,5,0,Arquivado
Ameaça,Torre,Golpe Telefônico,Nenhum,2,2,53,4,1,Concluído
Latrocínio,Santo Amaro,Estupro Coletivo,Objeto Contundente,1,3,38,2,0,Arquivado
Homicídio,Tamarineira,Arrombamento,Arma de Fogo,4,2,51,7,0,Arquivado
Latrocínio,Pina,Estelionato Bancário,Arma de Fogo,0,2,28,0,1,Concluído
Tráfico de Drogas,Afogados,Estelionato Bancário,Nenhum,0,1,32,5,1,Concluído
Estelionato,Santo Amaro,Assalto a Mão Armada,Arma de Fogo,0,3,68,2,1,Concluído
Furto,Tamarineira,Estupro Coletivo,Arma de Fogo,2,3,42,7,0,Arquivado
Violência Doméstica,Imbiribeira,Crime Cibernético,Faca,1,3,19,6,0,Arquivado
Ameaça,Afogados,Uso de Arma de Fogo,Objeto Contundente,0,3,51,5,0,Arquivado
Latrocínio,Imbiribeira,Uso de Arma de Fogo,Nenhum,0,1,47,6,1,Concluído
Estelionato,Boa Viagem,Emboscada,Objeto Contundente,0,0,24,8,0,Arquivado
Estupro,Santo Amaro,Estupro Coletivo,Objeto Contundente,3,3,31,2,1,Concluído
Violência Doméstica,Casa Forte,Arrombamento,Objeto Contundente,3,0,23,2,0,Arquivado
Furto,Santo Amaro,Estelionato Bancário,Objeto Contundente,2,2,29,2,0,Arquivado
Roubo,Afogados,Arrombamento,Arma de Fogo,2,4,55,5,0,Arquivado
Tráfico de Drogas,Boa Viagem,Crime Cibernético,Objeto Contundente,3,1,40,8,0,Arquivado
Sequestro,Espinheiro,Invasão Residencial,Explosivos,0,0,63,3,0,Arquivado
Estupro,Pina,Assalto a Mão Armada,Faca,0,3,18,0,1,Concluído
Furto,Imbiribeira,Invasão Residencial,Nenhum,2,2,35,6,1,Concluído
Ameaça,Tamarineira,Crime Cibernético,Objeto Contundente,2,1,53,7,0,Arquivado
Sequestro,Tamarineira,Estelionato Bancário,Nenhum,0,4,65,7,1,Concluído
Violência Doméstica,Pina,Estelionato Bancário,Nenhum,0,3,69,0,0,Arquivado
Tráfico de Drogas,Pina,Fraude Online,Explosivos,3,2,43,0,1,Concluído
Estelionato,Graças,Assalto a Mão Armada,Faca,3,1,54,1,0,Arquivado
Ameaça,Boa Viagem,Invasão Residencial,Arma de Fogo,1,3,68,8,1,Concluído
Tráfico de Drogas,Tamarineira,Arrombamento,Nenhum,4,2,69,7,1,Concluído
Ameaça,Boa Viagem,Assalto a Mão Armada,Faca,1,3,66,8,1,Concluído
Roubo,Tamarineira,Emboscada,Faca,3,0,47,7,0,Arquivado
Ameaça,Boa Viagem,Estelionato Bancário,Faca,1,3,25,8,1,Concluído
Latrocínio,Espinheiro,Uso de Arma de Fogo,Explosivos,0,1,43,3,0,Arquivado
Estelionato,Graças,Fraude Online,Objeto Contundente,0,0,21,1,1,Concluído
Tráfico de Drogas,Tamarineira,Estupro Coletivo,Arma de Fogo,1,3,49,7,0,Arquivado
Furto,Afogados,Arrombamento,Objeto Contundente,2,3,32,5,0,Arquivado
Sequestro,Graças,Emboscada,Nenhum,2,1,30,1,1,Concluído
Sequestro,Torre,Fraude Online,Objeto Contundente,2,2,67,4,0,Arquivado
Ameaça,Afogados,Uso de Arma de Fogo,Objeto Contundente,2,4,67,5,0,Arquivado
Roubo,Imbiribeira,Arrombamento,Arma de Fogo,0,1,40,6,0,Arquivado
Furto,Afogados,Golpe Telefônico,Objeto Contundente,0,4,61,5,0,Arquivado
Violência Doméstica,Casa Forte,Emboscada,Explosivos,2,4,59,2,1,Concluído
Roubo,Afogados,Emboscada,Explosivos,2,0,63,5,0,Arquivado
Tráfico de Drogas,Graças,Estelionato Bancário,Nenhum,1,0,28,1,0,Arquivado
Estelionato,Casa Forte,Invasão Residencial,Nenhum,2,1,54,2,1,Concluído
Ameaça,Santo Amaro,Fraude Online,Nenhum,0,3,59,2,1,Concluído
Homicídio,Graças,Assalto a Mão Armada,Nenhum,4,1,45,1,0,Arquivado
Estelionato,Espinheiro,Estelionato Bancário,Objeto Contundente,3,2,28,3,0,Arquivado
Roubo,Graças,Uso de Arma de Fogo,Faca,2,1,50,1,0,Arquivado
Latrocínio,Pina,Golpe Telefônico,Explosivos,4,2,55,0,1,Concluído
Roubo,Afogados,Arrombamento,Objeto Contundente,1,1,19,5,0,Arquivado
Estelionato,Pina,Estupro Coletivo,Arma de Fogo,0,4,19,0,0,Arquivado
Ameaça,Santo Amaro,Golpe Telefônico,Nenhum,2,0,34,2,1,Concluído
Estupro,Imbiribeira,Uso de Arma de Fogo,Objeto Contundente,1,4,56,6,0,Arquivado
Roubo,Boa Viagem,Emboscada,Faca,2,1,53,8,0,Arquivado
Homicídio,Santo Amaro,Crime Cibernético,Nenhum,4,1,22,2,1,Concluído
Furto,Boa Viagem,Uso de Arma de Fogo,Arma de Fogo,0,0,45,8,1,Concluído
Estelionato,Casa Forte,Arrombamento,Objeto Contundente,4,1,57,2,1,Concluído
Latrocínio,Tamarineira,Invasão Residencial,Nenhum,4,1,29,7,1,Concluído
Tráfico de Drogas,Graças,Arrombamento,Faca,1,3,36,1,0,Arquivado
Roubo,Tamarineira,Arrombamento,Explosivos,1,0,17,7,1,Concluído
Ameaça,Santo Amaro,Fraude Online,Explosivos,0,1,21,2,1,Concluído
Sequestro,Boa Viagem,Golpe Telefônico,Objeto Contundente,3,0,15,8,1,Concluído
Ameaça,Afogados,Fraude Online,Nenhum,3,4,50,5,1,Concluído
Sequestro,Pina,Emboscada,Arma de Fogo,2,4,47,0,0,Arquivado
Sequestro,Casa Forte,Estelionato Bancário,Nenhum,1,4,25,2,1,Concluído
Roubo,Casa Forte,Emboscada,Arma de Fogo,4,2,23,2,1,Concluído
Latrocínio,Afogados,Estelionato Bancário,Arma de Fogo,2,1,60,5,0,Arquivado
Tráfico de Drogas,Espinheiro,Golpe Telefônico,Explosivos,4,4,66,3,0,Arquivado
Homicídio,Pina,Invasão Residencial,Objeto Contundente,0,2,53,0,0,Arquivado
Homicídio,Pina,Fraude Online,Arma de Fogo,4,1,43,0,0,Arquivado
Estupro,Espinheiro,Estelionato Bancário,Arma de Fogo,1,0,56,3,0,Arquivado
Estelionato,Graças,Golpe Telefônico,Arma de Fogo,4,0,26,1,0,Arquivado
Furto,Boa Viagem,Estupro Coletivo,Objeto Contundente,0,3,66,8,1,Concluído
Estupro,Imbiribeira,Assalto a Mão Armada,Objeto Contundente,1,2,46,6,0,Arquivado
Latrocínio,Boa Viagem,Uso de Arma de Fogo,Nenhum,4,1,15,8,0,Arquivado
Sequestro,Afogados,Arrombamento,Objeto Contundente,3,4,24,5,1,Concluído
Estupro,Graças,Invasão Residencial,Explosivos,1,4,31,1,1,Concluído
Ameaça,Espinheiro,Emboscada,Explosivos,3,1,62,3,0,Arquivado
Latrocínio,Tamarineira,Estelionato Bancário,Arma de Fogo,1,0,20,7,0,Arquivado
Sequestro,Casa Forte,Estelionato Bancário,Objeto Contundente,1,1,43,2,1,Concluído
Furto,Afogados,Uso de Arma de Fogo,Objeto Contundente,1,3,39,5,0,Arquivado
Furto,Torre,Estupro Coletivo,Arma de Fogo,3,4,67,4,0,Arquivado
Estelionato,Imbiribeira,Golpe Telefônico,Nenhum,1,4,34,6,1,Concluído
Violência Doméstica,Espinheiro,Emboscada,Objeto Contundente,2,1,67,3,0,Arquivado
Furto,Torre,Estelionato Bancário,Arma de Fogo,0,2,44,4,0,Arquivado
Roubo,Boa Viagem,Arrombamento,Faca,3,1,55,8,0,Arquivado
Sequestro,Pina,Golpe Telefônico,Arma de Fogo,3,4,63,0,0,Arquivado
Ameaça,Espinheiro,Fraude Online,Nenhum,1,0,62,3,0,Arquivado
Tráfico de Drogas,Santo Amaro,Arrombamento,Arma de Fogo,3,4,17,2,1,Concluído
Violência Doméstica,Torre,Fraude Online,Explosivos,4,1,54,4,0,Arquivado
Homicídio,Imbiribeira,Estupro Coletivo,Objeto Contundente,1,3,67,6,1,Concluído
Furto,Torre,Arrombamento,Nenhum,3,2,15,4,1,Concluído
Homicídio,Boa Viagem,Crime Cibernético,Objeto Contundente,2,2,41,8,0,Arquivado
Homicídio,Tamarineira,Crime Cibernético,Objeto Contundente,3,2,59,7,0,Arquivado
Estupro,Santo Amaro,Emboscada,Explosivos,0,0,57,2,1,Concluído
Tráfico de Drogas,Tamarineira,Emboscada,Explosivos,0,2,62,7,1,Concluído
Estupro,Casa Forte,Golpe Telefônico,Faca,4,2,42,2,0,Arquivado
Ameaça,Pina,Fraude Online,Faca,0,3,23,0,0,Arquivado
Estelionato,Pina,Assalto a Mão Armada,Explosivos,4,0,56,0,0,Arquivado
Roubo,Imbiribeira,Emboscada,Objeto Contundente,4,3,32,6,1,Concluído
Homicídio,Santo Amaro,Fraude Online,Arma de Fogo,4,2,41,2,0,Arquivado
Latrocínio,Torre,Arrombamento,Faca,2,0,37,4,1,Concluído
Estelionato,Casa Forte,Estupro Coletivo,Faca,0,1,39,2,0,Arquivado
Furto,Graças,Estupro Coletivo,Nenhum,3,0,46,1,1,Concluído
Violência Doméstica,Afogados,Estelionato Bancário,Objeto Contundente,4,4,25,5,1,Concluído
Estupro,Afogados,Fraude Online,Explosivos,3,4,57,5,0,Arquivado
Latrocínio,Pina,Estelionato Bancário,Faca,0,3,16,0,0,Arquivado
Violência Doméstica,Espinheiro,Uso de Arma de Fogo,Nenhum,3,2,38,3,1,Concluído
Sequestro,Santo Amaro,Uso de Arma de Fogo,Objeto Contundente,1,2,36,2,1,Concluído
Estelionato,Tamarineira,Estelionato Bancário,Nenhum,3,2,29,7,0,Arquivado
Furto,Santo Amaro,Golpe Telefônico,Explosivos,1,0,61,2,0,Arquivado
Tráfico de Drogas,Santo Amaro,Uso de Arma de Fogo,Nenhum,1,2,30,2,0,Arquivado
Furto,Boa Viagem,Uso de Arma de Fogo,Arma de Fogo,4,2,53,8,0,Arquivado
Estelionato,Torre,Estupro Coletivo,Faca,2,2,45,4,0,Arquivado
Estelionato,Afogados,Golpe Telefônico,Faca,1,4,36,5,0,Arquivado
Furto,Espinheiro,Arrombamento,Nenhum,3,0,56,3,1,Concluído
Estupro,Imbiribeira,Estupro Coletivo,Faca,0,3,58,6,0,Arquivado
Violência Doméstica,Tamarineira,Estelionato Bancário,Explosivos,0,4,67,7,0,Arquivado
Furto,Torre,Estupro Coletivo,Faca,4,0,68,4,1,Concluído
Violência Doméstica,Graças,Golpe Telefônico,Nenhum,4,4,61,1,0,Arquivado
Homicídio,Torre,Fraude Online,Objeto Contundente,2,4,29,4,0,Arquivado
Latrocínio,Pina,Uso de Arma de Fogo,Explosivos,1,3,40,0,1,Concluído
Estupro,Pina,Fraude Online,Nenhum,2,1,44,0,0,Arquivado
Tráfico de Drogas,Afogados,Arrombamento,Faca,3,2,14,5,0,Arquivado
Estupro,Imbiribeira,Uso de Arma de Fogo,Objeto Contundente,3,1,54,6,0,Arquivado
Tráfico de Drogas,Casa Forte,Crime Cibernético,Explosivos,2,0,42,2,0,Arquivado
Estelionato,Imbiribeira,Uso de Arma de Fogo,Faca,0,0,60,6,0,Arquivado
Tráfico de Drogas,Espinheiro,Arrombamento,Nenhum,3,2,23,3,1,Concluído
Estelionato,Boa Viagem,Estelionato Bancário,Objeto Contundente,2,1,39,8,0,Arquivado
Tráfico de Drogas,Casa Forte,Crime Cibernético,Nenhum,1,3,31,2,1,Concluído
Tráfico de Drogas,Santo Amaro,Uso de Arma de Fogo,Arma de Fogo,3,3,33,2,0,Arquivado
Sequestro,Imbiribeira,Invasão Residencial,Nenhum,3,0,54,6,0,Arquivado
Estelionato,Afogados,Arrombamento,Objeto Contundente,2,4,50,5,0,Arquivado
Tráfico de Drogas,Graças,Estupro Coletivo,Faca,3,1,44,1,0,Arquivado
Latrocínio,Graças,Arrombamento,Faca,4,0,60,1,1,Concluído
Roubo,Santo Amaro,Crime Cibernético,Arma de Fogo,1,2,69,2,1,Concluído
Ameaça,Torre,Arrombamento,Explosivos,0,0,49,4,0,Arquivado
Violência Doméstica,Santo Amaro,Fraude Online,Explosivos,0,4,35,2,1,Concluído
Homicídio,Imbiribeira,Estelionato Bancário,Arma de Fogo,4,2,33,6,1,Concluído
Tráfico de Drogas,Santo Amaro,Golpe Telefônico,Explosivos,2,1,26,2,0,Arquivado
Furto,Espinheiro,Arrombamento,Arma de Fogo,4,0,31,3,1,Concluído
Estupro,Tamarineira,Assalto a Mão Armada,Faca,4,1,64,7,0,Arquivado
Latrocínio,Imbiribeira,Arrombamento,Nenhum,3,3,59,6,0,Arquivado
Homicídio,Afogados,Estupro Coletivo,Objeto Contundente,3,0,57,5,0,Arquivado
Latrocínio,Casa Forte,Fraude Online,Explosivos,4,1,59,2,0,Arquivado
Roubo,Santo Amaro,Estelionato Bancário,Explosivos,1,4,32,2,0,Arquivado
Latrocínio,Torre,Assalto a Mão Armada,Arma de Fogo,0,3,53,4,1,Concluído
Sequestro,Espinheiro,Estupro Coletivo,Nenhum,0,0,34,3,1,Concluído
Estupro,Boa Viagem,Arrombamento,Faca,1,3,20,8,0,Arquivado
Tráfico de Drogas,Santo Amaro,Invasão Residencial,Nenhum,4,2,37,2,0,Arquivado
Violência Doméstica,Boa Viagem,Assalto a Mão Armada,Arma de Fogo,3,2,34,8,0,Arquivado
Homicídio,Casa Forte,Assalto a Mão Armada,Explosivos,1,2,34,2,1,Concluído
Furto,Espinheiro,Fraude Online,Faca,2,2,40,3,0,Arquivado
Furto,Tamarineira,Golpe Telefônico,Faca,1,3,67,7,0,Arquivado
Roubo,Tamarineira,Fraude Online,Explosivos,4,4,37,7,1,Concluído
Estupro,Pina,Emboscada,Faca,2,2,30,0,1,Concluído
Furto,Santo Amaro,Fraude Online,Objeto Contundente,1,1,53,2,1,Concluído
Roubo,Tamarineira,Emboscada,Arma de Fogo,2,0,37,7,0,Arquivado
Estupro,Casa Forte,Fraude Online,Objeto Contundente,1,4,26,2,1,Concluído
Violência Doméstica,Imbiribeira,Uso de Arma de Fogo,Objeto Contundente,3,3,22,6,1,Concluído
Tráfico de Drogas,Afogados,Fraude Online,Explosivos,3,0,47,5,1,Concluído
Sequestro,Espinheiro,Estupro Coletivo,Objeto Contundente,3,4,14,3,1,Concluído
Violência Doméstica,Torre,Arrombamento,Explosivos,3,4,34,4,1,Concluído
Sequestro,Imbiribeira,Arrombamento,Explosivos,1,2,55,6,0,Arquivado
Estelionato,Casa Forte,Estelionato Bancário,Faca,3,1,35,2,0,Arquivado
Furto,Torre,Estupro Coletivo,Arma de Fogo,3,0,31,4,0,Arquivado
Violência Doméstica,Graças,Assalto a Mão Armada,Explosivos,0,3,41,1,0,Arquivado
Furto,Boa Viagem,Crime Cibernético,Faca,0,1,20,8,0,Arquivado
Latrocínio,Pina,Fraude Online,Faca,1,0,45,0,1,Concluído
Sequestro,Graças,Fraude Online,Explosivos,1,4,61,1,1,Concluído
Latrocínio,Afogados,Crime Cibernético,Explosivos,1,2,51,5,1,Concluído
Roubo,Espinheiro,Uso de Arma de Fogo,Nenhum,2,0,63,3,1,Concluído
Latrocínio,Casa Forte,Uso de Arma de Fogo,Faca,1,0,40,2,1,Concluído
Estelionato,Afogados,Emboscada,Explosivos,4,0,49,5,0,Arquivado
Latrocínio,Casa Forte,Crime Cibernético,Faca,4,1,30,2,0,Arquivado
Furto,Imbiribeira,Arrombamento,Explosivos,1,0,16,6,1,Concluído
Furto,Pina,Uso de Arma de Fogo,Nenhum,3,0,40,0,1,Concluído
Furto,Casa Forte,Estupro Coletivo,Faca,0,3,26,2,1,Concluído
Sequestro,Casa Forte,Fraude Online,Faca,1,4,55,2,1,Concluído
Ameaça,Tamarineira,Fraude Online,Nenhum,4,4,33,7,1,Concluído
Tráfico de Drogas,Boa Viagem,Assalto a Mão Armada,Explosivos,1,4,69,8,1,Concluído
Estupro,Santo Amaro,Crime Cibernético,Nenhum,1,0,30,2,1,Concluído
Estupro,Tamarineira,Golpe Telefônico,Faca,1,3,21,7,1,Concluído
Tráfico de Drogas,Santo Amaro,Golpe Telefônico,Objeto Contundente,4,1,37,2,0,Arquivado
Latrocínio,Santo Amaro,Fraude Online,Faca,3,2,51,2,1,Concluído
Latrocínio,Torre,Assalto a Mão Armada,Nenhum,0,2,29,4,0,Arquivado
Tráfico de Drogas,Boa Viagem,Arrombamento,Faca,1,2,42,8,0,Arquivado
Estelionato,Espinheiro,Estupro Coletivo,Faca,3,0,16,3,1,Concluído
Estupro,Torre,Uso de Arma de Fogo,Objeto Contundente,2,0,41,4,0,Arquivado
Tráfico de Drogas,Torre,Golpe Telefônico,Faca,3,1,52,4,1,Concluído
Roubo,Espinheiro,Crime Cibernético,Faca,1,1,68,3,0,Arquivado
Tráfico de Drogas,Casa Forte,Golpe Telefônico,Nenhum,3,1,38,2,0,Arquivado
Estupro,Graças,Estupro Coletivo,Arma de Fogo,1,3,16,1,0,Arquivado
Homicídio,Pina,Uso de Arma de Fogo,Arma de Fogo,1,1,66,0,0,Arquivado
Latrocínio,Tamarineira,Uso de Arma de Fogo,Faca,3,2,23,7,1,Concluído
Violência Doméstica,Tamarineira,Emboscada,Explosivos,2,3,20,7,1,Concluído
Homicídio,Tamarineira,Uso de Arma de Fogo,Objeto Contundente,0,3,22,7,1,Concluído
Homicídio,Tamarineira,Estupro Coletivo,Objeto Contundente,2,1,44,7,0,Arquivado
Sequestro,Boa Viagem,Assalto a Mão Armada,Faca,2,0,25,8,1,Concluído
Estelionato,Santo Amaro,Invasão Residencial,Objeto Contundente,0,3,63,2,1,Concluído
Estelionato,Tamarineira,Estupro Coletivo,Explosivos,3,1,38,7,0,Arquivado
Roubo,Tamarineira,Estupro Coletivo,Faca,2,1,28,7,1,Concluído
Tráfico de Drogas,Torre,Invasão Residencial,Arma de Fogo,0,1,50,4,0,Arquivado
Furto,Pina,Emboscada,Objeto Contundente,1,1,27,0,1,Concluído
Furto,Casa Forte,Estupro Coletivo,Faca,0,1,47,2,0,Arquivado
Violência Doméstica,Santo Amaro,Estupro Coletivo,Explosivos,4,1,46,2,0,Arquivado
Ameaça,Torre,Emboscada,Faca,2,3,39,4,1,Concluído
Sequestro,Graças,Arrombamento,Explosivos,2,0,66,1,0,Arquivado
Tráfico de Drogas,Tamarineira,Estupro Coletivo,Objeto Contundente,1,4,31,7,1,Concluído
Estupro,Boa Viagem,Golpe Telefônico,Explosivos,4,3,42,8,1,Concluído
Furto,Pina,Uso de Arma de Fogo,Objeto Contundente,3,2,53,0,1,Concluído
Latrocínio,Afogados,Estupro Coletivo,Arma de Fogo,4,0,63,5,0,Arquivado
Latrocínio,Imbiribeira,Golpe Telefônico,Arma de Fogo,4,2,54,6,0,Arquivado
Tráfico de Drogas,Torre,Crime Cibernético,Objeto Contundente,0,0,50,4,1,Concluído
Ameaça,Boa Viagem,Estupro Coletivo,Explosivos,1,4,62,8,1,Concluído
Tráfico de Drogas,Pina,Uso de Arma de Fogo,Explosivos,0,1,66,0,1,Concluído
Roubo,Casa Forte,Uso de Arma de Fogo,Explosivos,4,3,14,2,1,Concluído
Estelionato,Casa Forte,Golpe Telefônico,Faca,4,1,42,2,0,Arquivado
Latrocínio,Casa Forte,Crime Cibernético,Objeto Contundente,3,4,67,2,1,Concluído
Sequestro,Santo Amaro,Invasão Residencial,Nenhum,0,0,47,2,1,Concluído
Ameaça,Afogados,Arrombamento,Faca,0,4,36,5,0,Arquivado
Homicídio,Imbiribeira,Assalto a Mão Armada,Nenhum,4,2,55,6,1,Concluído
Ameaça,Espinheiro,Crime Cibernético,Arma de Fogo,4,0,14,3,0,Arquivado
Roubo,Casa Forte,Fraude Online,Nenhum,4,1,63,2,1,Concluído
Tráfico de Drogas,Torre,Fraude Online,Explosivos,2,0,15,4,0,Arquivado
Ameaça,Casa Forte,Uso de Arma de Fogo,Explosivos,1,2,40,2,1,Concluído
Furto,Pina,Fraude Online,Faca,1,1,21,0,1,Concluído
Roubo,Graças,Invasão Residencial,Faca,2,0,69,1,0,Arquivado
Violência Doméstica,Tamarineira,Crime Cibernético,Objeto Contundente,1,4,36,7,0,Arquivado
Furto,Torre,Arrombamento,Explosivos,3,4,56,4,1,Concluído
Homicídio,Imbiribeira,Assalto a Mão Armada,Faca,1,3,63,6,1,Concluído
Roubo,Torre,Fraude Online,Arma de Fogo,2,2,59,4,0,Arquivado
Sequestro,Afogados,Emboscada,Explosivos,1,4,38,5,1,Concluído
Tráfico de Drogas,Espinheiro,Fraude Online,Explosivos,3,1,69,3,0,Arquivado
Latrocínio,Imbiribeira,Invasão Residencial,Explosivos,2,4,23,6,0,Arquivado
Furto,Boa Viagem,Estupro Coletivo,Arma de Fogo,1,4,49,8,1,Concluído
Tráfico de Drogas,Boa Viagem,Emboscada,Nenhum,0,2,57,8,0,Arquivado
Latrocínio,Boa Viagem,Invasão Residencial,Faca,4,2,63,8,1,Concluído
Roubo,Afogados,Arrombamento,Faca,0,0,43,5,0,Arquivado
Ameaça,Boa Viagem,Uso de Arma de Fogo,Explosivos,4,3,44,8,0,Arquivado
Latrocínio,Graças,Invasão Residencial,Arma de Fogo,4,3,24,1,1,Concluído
Homicídio,Afogados,Golpe Telefônico,Objeto Contundente,3,2,37,5,0,Arquivado
Latrocínio,Imbiribeira,Estelionato Bancário,Explosivos,2,1,15,6,0,Arquivado
Furto,Tamarineira,Estelionato Bancário,Arma de Fogo,4,1,54,7,0,Arquivado
Tráfico de Drogas,Afogados,Fraude Online,Arma de Fogo,4,0,33,5,0,Arquivado
Furto,Graças,Invasão Residencial,Nenhum,1,3,14,1,1,Concluído
Latrocínio,Torre,Fraude Online,Nenhum,3,4,27,4,1,Concluído
Tráfico de Drogas,Santo Amaro,Fraude Online,Objeto Contundente,2,3,44,2,0,Arquivado
Furto,Espinheiro,Estupro Coletivo,Arma de Fogo,2,3,56,3,1,Concluído
Roubo,Santo Amaro,Assalto a Mão Armada,Explosivos,1,4,29,2,1,Concluído
Sequestro,Casa Forte,Estupro Coletivo,Objeto Contundente,3,0,65,2,0,Arquivado
Estelionato,Boa Viagem,Golpe Telefônico,Explosivos,0,2,17,8,0,Arquivado
Tráfico de Drogas,Boa Viagem,Golpe Telefônico,Nenhum,1,0,36,8,1,Concluído
Tráfico de Drogas,Espinheiro,Invasão Residencial,Faca,2,0,38,3,1,Concluído
Roubo,Afogados,Crime Cibernético,Nenhum,1,4,67,5,1,Concluído
Sequestro,Espinheiro,Fraude Online,Explosivos,3,2,17,3,0,Arquivado
Furto,Boa Viagem,Golpe Telefônico,Arma de Fogo,4,0,40,8,1,Concluído
Sequestro,Espinheiro,Crime Cibernético,Nenhum,0,1,32,3,0,Arquivado
Homicídio,Pina,Estelionato Bancário,Explosivos,0,1,60,0,1,Concluído
Estupro,Afogados,Emboscada,Nenhum,3,2,31,5,0,Arquivado
Homicídio,Graças,Estelionato Bancário,Objeto Contundente,1,0,44,1,1,Concluído
Roubo,Imbiribeira,Estelionato Bancário,Objeto Contundente,3,4,27,6,0,Arquivado
Sequestro,Tamarineira,Emboscada,Objeto Contundente,4,0,19,7,0,Arquivado
Sequestro,Santo Amaro,Uso de Arma de Fogo,Faca,0,1,66,2,1,Concluído
Tráfico de Drogas,Graças,Emboscada,Arma de Fogo,2,3,48,1,1,Concluído
Tráfico de Drogas,Casa Forte,Crime Cibernético,Arma de Fogo,4,0,50,2,0,Arquivado
Furto,Imbiribeira,Golpe Telefônico,Arma de Fogo,1,3,39,6,0,Arquivado
Estupro,Pina,Invasão Residencial,Arma de Fogo,1,1,69,0,1,Concluído
Violência Doméstica,Casa Forte,Assalto a Mão Armada,Arma de Fogo,3,3,64,2,0,Arquivado
Estupro,Espinheiro,Assalto a Mão Armada,Nenhum,3,3,31,3,0,Arquivado
Sequestro,Torre,Fraude Online,Nenhum,4,4,34,4,0,Arquivado
Estelionato,Tamarineira,Arrombamento,Faca,2,4,15,7,1,Concluído
Latrocínio,Santo Amaro,Assalto a Mão Armada,Faca,0,2,19,2,0,Arquivado
Ameaça,Casa Forte,Invasão Residencial,Objeto Contundente,1,0,37,2,0,Arquivado
Latrocínio,Espinheiro,Crime Cibernético,Nenhum,1,1,36,3,1,Concluído
Tráfico de Drogas,Afogados,Fraude Online,Nenhum,4,4,55,5,0,Arquivado
Violência Doméstica,Casa Forte,Crime Cibernético,Nenhum,4,1,67,2,0,Arquivado
Ameaça,Tamarineira,Crime Cibernético,Nenhum,0,1,58,7,1,Concluído
Tráfico de Drogas,Santo Amaro,Arrombamento,Faca,4,2,68,2,0,Arquivado
Estelionato,Torre,Estupro Coletivo,Nenhum,2,0,31,4,1,Concluído
Estelionato,Pina,Emboscada,Objeto Contundente,2,0,62,0,0,Arquivado
Homicídio,Espinheiro,Estelionato Bancário,Faca,2,0,61,3,1,Concluído
Tráfico de Drogas,Boa Viagem,Estelionato Bancário,Objeto Contundente,3,2,23,8,1,Concluído
Sequestro,Afogados,Uso de Arma de Fogo,Explosivos,4,4,44,5,0,Arquivado
Violência Doméstica,Torre,Emboscada,Nenhum,0,3,24,4,1,Concluído
Furto,Espinheiro,Arrombamento,Nenhum,4,3,58,3,1,Concluído
Ameaça,Imbiribeira,Uso de Arma de Fogo,Objeto Contundente,4,4,24,6,1,Concluído
Sequestro,Espinheiro,Assalto a Mão Armada,Faca,1,4,53,3,1,Concluído
Roubo,Espinheiro,Estelionato Bancário,Explosivos,0,4,61,3,1,Concluído
